account,region,country,is_diplomatic_outlet,is_state_media_outlet,is_confucius_institute,account_category,name,social_media_type,langs,link_or_handle,extracted_from_file,extracted_from_col,lookup.twitter.user/verified,lookup.lookup.crowdtangle.account/verified,lookup.twitter.user/createdAt,combined/userHandle,combined/uniqueUserId
chinaembaustria,Europe,AUSTRIA,Diplomatic outlet,0,0,Embassy,embassy_twitter_handle,tw,"['english', 'german', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,Embassy Twitter handle without NA,True,,2020-01-30T16:48:21.000Z,tw-chinaembaustria,tw-1222924488783945730
chinaorgcn,Asia Pacific,CHINA,0,State media outlet,0,Media outlet,media_outlet_twitter_handle,tw,['english'],handle,ChinaSocialMedia20200928.xlsx,Media outlet Twitter handle,True,,2010-05-24T08:11:05.000Z,tw-chinaorgcn,tw-147491390
chinascio,Asia Pacific,CHINA,Diplomatic outlet,0,0,Ministry official,ministry_official_twitter_handle,tw,"['english', 'mandarin']",handle,ChinaSocialMedia20200928.xlsx,Ministry official Twitter handle,False,,2015-09-01T02:55:07.000Z,tw-chinascio,tw-3508175477
chine_guinee,Africa,GUINEA,Diplomatic outlet,0,0,Embassy,embassy_twitter_handle,tw,"['french', 'english', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,Embassy Twitter handle without NA,False,,2019-09-25T10:50:18.000Z,tw-chine_guinee,tw-1176811042015502336
chineseconsulatesf,Americas,UNITED STATES OF AMERICA,Diplomatic outlet,0,0,Consulate General,consulate_general_facebook_handle,fb,['english'],handle,ChinaSocialMedia20200928.xlsx,Consulate General Facebook handle,,True,,fb-chineseconsulatesf,fb-559417600783428
chineseembassy1,Asia-Pacific,THAILAND,Diplomatic outlet,0,0,Embassy,embassy_twitter_handle,tw,"['english', 'thai', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,Embassy Twitter handle without NA,False,,2019-05-17T09:02:35.000Z,tw-chineseembassy1,tw-1129311240071704576
cidcaofficial,Asia Pacific,CHINA,Diplomatic outlet,0,0,Ministry official,ministry_official_twitter_handle,tw,"['english', 'mandarin']",handle,ChinaSocialMedia20200928.xlsx,Ministry official Twitter handle,False,,2020-03-08T10:41:48.000Z,tw-cidcaofficial,tw-1236602774474772481
confuciusbiz,Americas,UNITED STATES OF AMERICA,0,0,Confucius Institute,Confucius Institute,institute_twitter_handle,tw,['english'],handle,ChinaSocialMedia20200928.xlsx,Institute Twitter handle,False,,2012-08-29T14:33:34.000Z,tw-confuciusbiz,tw-789463110
confuciusedgehi,Europe,UNITED KINGDOM,0,0,Confucius Institute,Confucius Institute,institute_twitter_handle,tw,['english'],handle,ChinaSocialMedia20200928.xlsx,Institute Twitter handle,False,,2017-02-08T15:36:35.000Z,tw-confuciusedgehi,tw-829353238046588929
consulat_de,Europe,FRANCE,Diplomatic outlet,0,0,Consul General,consul_general_twitter_handle,tw,['french'],handle,ChinaSocialMedia20200928.xlsx,Consul General Twitter handle,False,,2020-02-20T08:36:28.000Z,tw-consulat_de,tw-1230410541547560960
criarabic,Asia Pacific,CHINA,0,State media outlet,0,Media outlet,media_outlet_twitter_handle,tw,['arabic'],handle,ChinaSocialMedia20200928.xlsx,Media outlet Twitter handle,True,,2013-04-23T01:11:19.000Z,tw-criarabic,tw-1373495347
criarabic1,Asia Pacific,CHINA,0,State media outlet,0,Media outlet,media_outlet_facebook_handle,fb,['arabic'],handle,ChinaSocialMedia20200928.xlsx,Media outlet Facebook handle,,False,,fb-criarabic1,fb-232678173543084
embassy_chinese,Asia-Pacific,TONGA,Diplomatic outlet,0,0,Embassy,embassy_twitter_handle,tw,"['english', 'n/a', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,Embassy Twitter handle without NA,False,,2019-11-17T23:48:18.000Z,tw-embassy_chinese,tw-1196213449539239936
